Frame	Time	uav X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		6D X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00000	37.08617	13.71759	307.23244	-0.01341	0.01842	0.01111	0.12837	1.00000	0.00019	-0.00032	-0.00019	1.00000	-0.00023	0.00032	0.00023	1.00000		37.08617	13.71759	307.23244	-0.00000	-0.00000	-0.00000	0.00000	1.00000	-0.00000	-0.00000	0.00000	1.00000	0.00000	-0.00000	0.00000	1.00000	
2	0.10000	37.04817	13.61382	307.24124	-0.02793	0.03283	0.01212	0.08410	1.00000	0.00021	-0.00057	-0.00021	1.00000	-0.00049	0.00057	0.00049	1.00000		37.04817	13.61382	307.24124	-0.01451	0.01440	0.00100	0.13795	1.00000	0.00002	-0.00025	-0.00002	1.00000	-0.00025	0.00025	0.00025	1.00000	
3	0.20000	36.97283	13.63976	307.24206	-0.04050	0.01468	0.01794	0.14728	1.00000	0.00031	-0.00026	-0.00031	1.00000	-0.00071	0.00026	0.00071	1.00000		36.97283	13.63976	307.24206	-0.02707	-0.00375	0.00683	0.18333	1.00000	0.00012	0.00007	-0.00012	1.00000	-0.00047	-0.00007	0.00047	1.00000	
4	0.30000	36.93502	13.62820	307.18081	-0.03249	0.00912	0.02537	0.24155	1.00000	0.00044	-0.00016	-0.00044	1.00000	-0.00057	0.00016	0.00057	1.00000		36.93502	13.62820	307.18081	-0.01906	-0.00931	0.01426	0.25002	1.00000	0.00025	0.00016	-0.00025	1.00000	-0.00033	-0.00016	0.00033	1.00000	
5	0.40000	36.94228	13.61294	307.17193	-0.03589	0.00741	0.02226	0.25146	1.00000	0.00039	-0.00013	-0.00039	1.00000	-0.00063	0.00013	0.00063	1.00000		36.94228	13.61294	307.17193	-0.02246	-0.01102	0.01115	0.26021	1.00000	0.00019	0.00019	-0.00019	1.00000	-0.00039	-0.00019	0.00039	1.00000	
6	0.50000	36.90207	13.60664	307.18841	-0.03879	0.01178	0.02787	0.24362	1.00000	0.00049	-0.00021	-0.00049	1.00000	-0.00068	0.00021	0.00068	1.00000		36.90207	13.60664	307.18841	-0.02536	-0.00665	0.01676	0.26467	1.00000	0.00029	0.00012	-0.00029	1.00000	-0.00044	-0.00012	0.00044	1.00000	
7	0.60000	37.13154	13.53876	307.19276	-0.06474	0.00216	0.02353	0.39488	1.00000	0.00041	-0.00004	-0.00041	1.00000	-0.00113	0.00004	0.00113	1.00000		37.13154	13.53876	307.19276	-0.05130	-0.01628	0.01242	0.39851	1.00000	0.00022	0.00028	-0.00022	1.00000	-0.00090	-0.00028	0.00090	1.00000	
8	0.70000	37.29541	13.46543	307.05329	-0.08640	-0.00708	0.02093	0.42413	1.00000	0.00037	0.00012	-0.00037	1.00000	-0.00151	-0.00012	0.00151	1.00000		37.29541	13.46543	307.05329	-0.07295	-0.02553	0.00982	0.42728	1.00000	0.00017	0.00045	-0.00017	1.00000	-0.00127	-0.00045	0.00127	1.00000	
9	0.80000	37.02254	13.62309	307.06752	-0.06113	0.00084	0.01391	0.28396	1.00000	0.00024	-0.00001	-0.00024	1.00000	-0.00107	0.00001	0.00107	1.00000		37.02254	13.62309	307.06752	-0.04770	-0.01760	0.00280	0.27287	1.00000	0.00005	0.00031	-0.00005	1.00000	-0.00083	-0.00031	0.00083	1.00000	
10	0.90000	36.99611	13.61552	307.07177	-0.06029	-0.00212	0.01456	0.28119	1.00000	0.00025	0.00004	-0.00025	1.00000	-0.00105	-0.00004	0.00105	1.00000		36.99611	13.61552	307.07177	-0.04686	-0.02056	0.00346	0.27284	1.00000	0.00006	0.00036	-0.00006	1.00000	-0.00082	-0.00036	0.00082	1.00000	
11	1.00000	36.81642	13.59752	306.96480	-0.04792	-0.00142	-0.01742	0.19901	1.00000	-0.00030	0.00003	0.00030	1.00000	-0.00084	-0.00002	0.00084	1.00000		36.81642	13.59752	306.96480	-0.03452	-0.01986	-0.02851	0.24742	1.00000	-0.00050	0.00035	0.00050	1.00000	-0.00060	-0.00035	0.00060	1.00000	
12	1.10000	36.85606	13.55889	306.99580	-0.05264	0.00869	0.01290	0.23603	1.00000	0.00022	-0.00015	-0.00023	1.00000	-0.00092	0.00015	0.00092	1.00000		36.85606	13.55889	306.99580	-0.03920	-0.00975	0.00178	0.25339	1.00000	0.00003	0.00017	-0.00003	1.00000	-0.00068	-0.00017	0.00068	1.00000	
13	1.20000	36.81812	13.54735	307.01363	-0.05554	0.01672	0.00697	0.23792	1.00000	0.00012	-0.00029	-0.00012	1.00000	-0.00097	0.00029	0.00097	1.00000		36.81812	13.54735	307.01363	-0.04210	-0.00172	-0.00414	0.26305	1.00000	-0.00007	0.00003	0.00007	1.00000	-0.00073	-0.00003	0.00073	1.00000	
14	1.30000	36.85063	13.51126	306.98989	-0.06556	0.02409	0.00775	0.22509	1.00000	0.00013	-0.00042	-0.00014	1.00000	-0.00114	0.00042	0.00114	1.00000		36.85063	13.51126	306.98989	-0.05213	0.00565	-0.00336	0.26229	1.00000	-0.00006	-0.00010	0.00006	1.00000	-0.00091	0.00010	0.00091	1.00000	
15	1.40000	36.84990	13.52815	307.01163	-0.06419	0.02222	0.00873	0.21307	1.00000	0.00015	-0.00039	-0.00015	1.00000	-0.00112	0.00039	0.00112	1.00000		36.84990	13.52815	307.01163	-0.05076	0.00378	-0.00239	0.23816	1.00000	-0.00004	-0.00007	0.00004	1.00000	-0.00089	0.00007	0.00089	1.00000	
16	1.50000	36.84916	13.53101	306.99065	-0.05776	0.02814	0.00903	0.20412	1.00000	0.00016	-0.00049	-0.00016	1.00000	-0.00101	0.00049	0.00101	1.00000		36.84916	13.53101	306.99065	-0.04433	0.00970	-0.00208	0.22337	1.00000	-0.00004	-0.00017	0.00004	1.00000	-0.00077	0.00017	0.00077	1.00000	
17	1.60000	36.79996	13.53890	306.98550	-0.05683	0.02054	0.00763	0.21029	1.00000	0.00013	-0.00036	-0.00013	1.00000	-0.00099	0.00036	0.00099	1.00000		36.79996	13.53890	306.98550	-0.04340	0.00210	-0.00348	0.24533	1.00000	-0.00006	-0.00004	0.00006	1.00000	-0.00076	0.00004	0.00076	1.00000	
