Frame	Time	uav X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		6D X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00000	12.72834	-5.07272	309.41878	-0.00177	-0.00594	-0.00126	0.01856	1.00000	-0.00002	0.00010	0.00002	1.00000	-0.00003	-0.00010	0.00003	1.00000		12.72834	-5.07272	309.41878	-1.99172	1.92731	-0.70682	0.74828	0.99936	-0.01350	-0.03318	0.01233	0.99931	-0.03517	0.03363	0.03474	0.99883	
2	0.10000	12.70874	-5.07486	309.41376	-0.00237	0.00251	0.00671	0.03399	1.00000	0.00012	-0.00004	-0.00012	1.00000	-0.00004	0.00004	0.00004	1.00000		12.70874	-5.07486	309.41376	-1.99262	1.93545	-0.69856	0.75202	0.99936	-0.01336	-0.03333	0.01218	0.99931	-0.03518	0.03377	0.03475	0.99883	
3	0.20000	12.73327	-5.07053	309.40914	-0.00413	-0.00689	0.00042	0.02415	1.00000	0.00001	0.00012	-0.00001	1.00000	-0.00007	-0.00012	0.00007	1.00000		12.73327	-5.07053	309.40914	-1.99416	1.92629	-0.70518	0.75569	0.99936	-0.01347	-0.03316	0.01230	0.99930	-0.03521	0.03361	0.03478	0.99883	
4	0.30000	12.72587	-5.11264	309.37763	0.00261	-0.00767	0.00228	0.05371	1.00000	0.00004	0.00013	-0.00004	1.00000	0.00005	-0.00013	-0.00005	1.00000		12.72587	-5.11264	309.37763	-1.98747	1.92555	-0.70339	0.72480	0.99936	-0.01343	-0.03315	0.01227	0.99931	-0.03509	0.03360	0.03466	0.99883	
5	0.40000	12.70603	-5.11346	309.37193	0.00722	-0.00603	0.00206	0.08066	1.00000	0.00004	0.00011	-0.00004	1.00000	0.00013	-0.00011	-0.00013	1.00000		12.70603	-5.11346	309.37193	-1.98290	1.92723	-0.70359	0.72977	0.99936	-0.01344	-0.03318	0.01227	0.99931	-0.03501	0.03363	0.03458	0.99884	
6	0.50000	12.70758	-5.10826	309.36207	0.00744	-0.00498	0.00457	0.07882	1.00000	0.00008	0.00009	-0.00008	1.00000	0.00013	-0.00009	-0.00013	1.00000		12.70758	-5.10826	309.36207	-1.98276	1.92816	-0.70104	0.71378	0.99936	-0.01339	-0.03320	0.01223	0.99931	-0.03501	0.03365	0.03458	0.99884	
7	0.60000	12.72539	-5.12010	309.35595	0.00791	-0.00547	-0.00093	0.08927	1.00000	-0.00002	0.00010	0.00002	1.00000	0.00014	-0.00010	-0.00014	1.00000		12.72539	-5.12010	309.35595	-1.98211	1.92790	-0.70657	0.71826	0.99936	-0.01349	-0.03319	0.01232	0.99931	-0.03500	0.03364	0.03457	0.99884	
8	0.70000	12.49276	-4.96040	309.30620	0.00972	-0.01017	0.02685	0.13874	1.00000	0.00047	0.00018	-0.00047	1.00000	0.00017	-0.00018	-0.00017	1.00000		12.49276	-4.96040	309.30620	-1.98129	1.92225	-0.67901	0.72484	0.99937	-0.01300	-0.03311	0.01184	0.99932	-0.03497	0.03354	0.03455	0.99884	
9	0.80000	12.50065	-4.93107	309.29975	0.01078	-0.01029	0.02900	0.13950	1.00000	0.00051	0.00018	-0.00051	1.00000	0.00019	-0.00018	-0.00019	1.00000		12.50065	-4.93107	309.29975	-1.98031	1.92203	-0.67686	0.71469	0.99937	-0.01296	-0.03311	0.01181	0.99932	-0.03495	0.03354	0.03454	0.99884	
10	0.90000	12.47966	-4.92183	309.29237	0.01111	-0.00513	0.03189	0.14503	1.00000	0.00056	0.00009	-0.00056	1.00000	0.00019	-0.00009	-0.00019	1.00000		12.47966	-4.92183	309.29237	-1.98007	1.92711	-0.67379	0.70742	0.99937	-0.01291	-0.03320	0.01175	0.99932	-0.03494	0.03363	0.03453	0.99884	
